,,,,,,,,,,,,,,,,,
,Name,Base_price,Body_style,Seats,Base_ Engine,Base_Power,Mileage,Drive,Towing,Min_cargo_L,Front_headroom,Front_legroom,Rear_legroom,Rear_shoulder,Fuel_capacity,Batt,Range
,2022 Ford Ranger,33320,Pickup,4,Gasoline,270,10.9,4WD,7500,0,41,43.1,30.4,55.2,68,0,625
,2022 Ford Edge,37279,SUV,5,Gasoline,250,10.1,AWD,3500,1110,40.2,42.6,40.6,60.5,70,0,693
,2022 Ford Bronco Sport,32999,SUV,5,Gasoline,181,8.9,4WD,0,920,41.5,42.4,36.9,55.6,61,0,685
,2021 Ford Expedition,64340,SUV,8,Gasoline,380,12.6,AWD,9200,593,42,43.9,42.6,64.8,88,0,700
,2022 Ford Mustang,32145,Coupe,4,Gasoline,310,9.5,RWD,0,382,37.6,44.5,29,52.2,59,0,618
,2022 Ford Mustang Mach-E,51495,SUV,5,Electric,266,2.4,RWD,0,840,38.9,41.7,38.1,55.9,0,75.7,370
,2022 Ford Bronco 2-door,41299,SUV,4,Gasoline,275,,4WD,3500,,,,,,,,
,2022 Ford EcoSport,25599,SUV,5,Gasoline,166,9.2,AWD,2000,592,39.6,42.9,36.7,51.3,51,0,559
,2021 Ford Expedition MAX,80815,SUV,8,Gasoline,400,13.1,AWD,9000,1019,42,43.9,42.6,64.8,105,0,802
,2022 Ford F-150 Lightning,68000,Pickup,5,Electric,426,2,4WD,,0,40.8,43.9,43.6,66,0,98,370
,2022 Ford F-250 Super Duty,45619,Pickup,3,Gasoline,385,,RWD,14000,328,40.8,43.9,0,0,130,0,
,2022 Ford F-350 Super Duty,48249,Pickup,3,Gasoline,385,,RWD,21200,328,40.8,43.9,0,0,130,0,
,2022 Ford Maverick,25900,Pickup,5,Hybrid,191,6.3,FWD,2000,0,40.3,42.8,35.9,55.6,56,1.1,892
,2022 Ford Transit Connect Van,32035,Van,2,Gasoline,162,9.9,FWD,2000,3608,46.9,41.5,0,0,60,0,604
,2022 Ford Transit Connect Wagon,34615,Van,6,Gasoline,162,10.2,FWD,2000,463,46.9,42.3,37.6,58.5,60,0,585
,2022 Ford Transit Crew,45140,Van,5,Gasoline,275,,RWD,6500,,40.8,41.3,,,95,0,
,2022 Ford Transit Van,41820,Van,2,Gasoline,275,,RWD,6900,6986,40.8,41.3,,,95,0,
,2022 Genesis G70,45500,Sedan,5,Gasoline,252,10.1,AWD,0,297,38.5,42.6,34.8,54.6,60,0,595
,2021 Genesis G80,66500,Sedan,5,Gasoline,300,9.5,AWD,0,371,40.9,42.2,38.7,58.3,65,0,685
,2022 Genesis G90,89750,Sedan,5,Gasoline,420,12.8,AWD,0,444,41.1,46.3,37.8,57.9,83,0,649
,2022 Genesis GV70,49500,SUV,5,Gasoline,300,9.7,AWD,3500,819,39.6,41.3,37.2,56.9,66,0,682
,2022 Genesis GV80,65500,SUV,5,Gasoline,300,10.5,AWD,6000,991,40.2,41.6,38.7,58.3,80,0,761
,2022 GMC Sierra 1500,33848,Pickup,3,Gasoline,285,13.5,RWD,10000,0,43.1,44.5,0,0,106,0,786
,2022 GMC Terrain,30598,SUV,5,Gasoline,170,8.6,FWD,1500,838,40,40.9,39.7,55.6,56,0,653
,2022 GMC Yukon,59648,SUV,8,Gasoline,355,14.2,RWD,8400,722,42.3,44.5,42,64.8,91,0,643
,2022 GMC Canyon,28648,Pickup,4,Gasoline,200,10.9,RWD,7000,0,41.4,45,28.6,57.3,80,0,731
,2022 GMC Acadia,38498,SUV,6,Gasoline,228,9.4,FWD,4000,363,40,41,39.7,58.7,73,0,774
,2023 GMC Hummer EV,88898,Pickup,5,Electric,999,,4WD,,,42.5,45.6,38.9,64,0,,402
,2021 GMC Savana 2500,46448,Van,12,Gasoline,265,,RWD,9800,2608,40.9,41.3,36.3,65.8,117,0,
,2021 GMC Savana Cargo,40648,Van,2,Gasoline,265,,RWD,9900,6780,40.9,41.3,0,0,117,0,
,2022 GMC Sierra 2500HD,46448,Pickup,3,Gasoline,401,,RWD,18500,0,43.1,44.5,0,0,136,0,
,2022 GMC Sierra 3500HD ,48448,Pickup,3,Gasoline,401,,RWD,21500,0,43.1,44.5,0,0,136,0,
,2022 GMC Yukon XL,62648,SUV,8,Gasoline,355,14.2,RWD,8300,1175,42.3,44.5,42,64.8,106,0,749
,2022 Honda CR-V,30770,SUV,5,Gasoline,190,7.7,FWD,1500,1110,40.1,41.3,40.4,55.6,53,0,688
,2022 Honda Civic Sedan,24465,Sedan,5,Gasoline,158,6.9,FWD,0,419,39.3,42.3,37.4,56,47,0,681
,2022 Honda HR-V,26200,SUV,5,Gasoline,141,7.8,FWD,1100,688,39.5,41.2,39.3,54.5,50,0,641
,2022 Honda Pilot,46120,SUV,8,Gasoline,280,11,AWD,5000,524,39.5,40.9,38.4,62,74,0,671
,2021 Honda Accord,33320,Sedan,5,Gasoline,192,7.2,FWD,0,473,39.5,42.3,40.4,56.5,56,0,778
,2022 Honda Odyssey,43605,Van,8,Gasoline,280,10.6,FWD,3500,929,38.7,40.9,40.9,61.6,74,0,698
,2021 Honda Accord Hybrid,37170,Sedan,5,Hybrid,212,5,FWD,0,473,39.5,42.3,40.4,56.5,49,1.3,980
,2022 Honda Civic Hatchback,28000,Hatchback,5,Gasoline,158,8,FWD,0,693,39.3,42.3,36.1,55,47,0,587
,2021 Honda Civic Type R,46200,Hatchback,4,Gasoline,306,9.6,FWD,0,728,39.3,42.3,35.9,55,47,0,490
