,Name,Base_price,Body_style,Seats,Base_Engine,Base_Power,Mileage,Drive,Towing,Min_cargo_L,Front_headroom,Front_legroom,Rear_legroom,Rear_shoulder,Fuel_capacity,Batt,Range
108,2022 Chevrolet Silverado 1500 Long Box,32648,5,3,1,310.0,11.75257731958760,3,9900.0,0.0,43.1,44.5,0.0,0.0,129.0,0.0,642.4584382871540
109,2022 Chevrolet Silverado 2500HD,45048,5,3,1,401.0,11.75257731958760,3,18510.0,0.0,43.1,44.5,0.0,0.0,136.0,0.0,642.4584382871540
110,2022 Chevrolet Silverado 3500HD,47048,5,3,1,401.0,11.75257731958760,3,21500.0,0.0,43.1,44.5,0.0,0.0,136.0,0.0,642.4584382871540
111,2022 Chevrolet Suburban LS,60748,1,8,1,355.0,13.2,3,8300.0,1175.0,42.3,44.5,42.0,64.8,106.0,0.0,803.0
112,2022 Chevrolet Trax 1LS,22098,1,5,1,138.0,8.4,2,1300.0,530.0,39.6,40.8,35.7,52.8,53.0,0.0,629.0
113,2022 Chrysler Grand Caravan,44295,6,7,1,287.0,10.6,2,3600.0,915.0,40.2,41.1,36.6,63.1,71.0,0.0,670.0
114,2022 Chrysler Pacifica,50095,6,7,1,287.0,10.6,2,3600.0,915.0,40.2,41.1,36.6,63.1,71.0,0.0,670.0
115,2022 Chrysler Pacifica Hybrid,54995,6,7,2,260.0,2.9,2,3600.0,915.0,40.2,41.1,36.6,63.1,62.0,16.0,784.0
116,2021 Chrysler 300,45945,2,5,1,292.0,10.3,3,0.0,460.0,38.6,41.8,40.1,57.7,70.0,0.0,680.0
117,2021 Dodge Challenger,37165,3,5,1,303.0,10.3,3,0.0,459.0,39.3,42.0,33.1,53.9,70.0,0.0,680.0
118,2021 Dodge Charger,40665,2,5,1,292.0,10.3,3,0.0,467.0,38.6,41.8,40.1,58.0,70.0,0.0,680.0
119,2021 Dodge Durango,50795,1,7,1,295.0,11.3,1,6200.0,487.0,39.9,40.4,38.6,50.4,93.0,0.0,823.0
